"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_type","architecture","batch_size","conv_dropout_p","device","early_stopping_delta","early_stopping_delta_type","early_stopping_patience","epochs","accuracy","test_loss","validation_loss","training_loss","include_second_fc_layer","fc_dropout_p","kernel_sizes","learning_rate","num_reduce_learning_rate","optimizer","out_channels","use_batch_norm","dimensions","input_size","output_size","best_epoch","best_validation_loss","epoch","step_learning_rate","step_training_loss","step_validation_loss","weighted_f1","weighted_precision","weighted_recall"
"bright-sweep-40","finished","-","shane-kercheval","","2024-01-07T03:37:28.000Z","223","vy3v7jae","relu","CNN","128","0","cuda","0.05","relative","3","100","0.9912857142857144","0.04528435692191124","0.04892270510828322","0.00006341151704925453","false","0.5","[3,5]","0.001","5","adam","[32,64]","false","","","","6","0.035227677983897074","24","0.00003125","0.00009438920863301194","0.04890068727931274","0.9912860198908195","0.9913113879543828","0.9912857142857144"
"ethereal-sweep-56","finished","-","shane-kercheval","","2024-01-07T06:24:26.000Z","579","vy3v7jae","leaky_relu","CNN","32","0","cuda","0.05","relative","3","100","0.9938571428571428","0.04620921292475292","0.06503715555262425","9.905517834026663e-7","false","0.5","[7,7]","0.01","5","adam","[32,64]","true","","","","5","0.03975675917879354","23","0.0003125","0.000001068061812624605","0.06460710022755589","0.9938576765694076","0.993865110504691","0.9938571428571428"
"lucky-sweep-2","finished","-","shane-kercheval","","2024-01-07T06:14:41.000Z","382","46k9rb1p","relu","convolutional","64","0","cuda","0.05","relative","3","100","0.986","0.04678327324134963","0.04795811115950346","0.02807120547895985","false","0.5","[3,5]","0.01","5","sgd","[16,64]","false","[28,28]","784","10","27","0.04827882848680019","39","0.0003125","0.035621040035039186","0.04793221784542714","0.986002050659257","0.9860561100314174","0.986"
"fast-sweep-29","finished","-","shane-kercheval","","2024-01-07T00:53:23.000Z","227","vy3v7jae","leaky_relu","CNN","128","0","cuda","0.05","relative","3","100","0.9874285714285714","0.0475497410765716","0.04804865907877684","0.0027460393167732817","false","0","[3,3]","0.001","5","adam","[16,32]","false","","","","10","0.04058118342794478","28","0.00003125","0.00220091245968693","0.04804982874968222","0.9874297410206088","0.9874400788247332","0.9874285714285714"
"revived-sweep-43","finished","-","shane-kercheval","","2024-01-07T03:51:40.000Z","1234","vy3v7jae","leaky_relu","CNN","64","0.1","cuda","0.05","relative","3","100","0.9902857142857144","0.049862711291228025","0.041450416195788424","0.0017334242926866149","true","0.5","[5,5]","0.01","5","adam","[16,64]","false","","","","24","0.03943279807165631","27","0.0003125","0.016641857554720352","0.041689384369266655","0.9902792407960732","0.9903069369320148","0.9902857142857144"
"vital-sweep-44","finished","-","shane-kercheval","","2024-01-07T04:12:17.000Z","520","vy3v7jae","relu","CNN","64","0","cuda","0.05","relative","3","100","0.9844285714285714","0.05033418961933681","0.04815928250444787","0.032522458856659275","false","0","[7,7]","0.001","5","sgd","[32,64]","true","","","","21","0.05037533299412046","36","0.00003125","0.032589169508167384","0.04822071662545204","0.9844306301339892","0.9844583893706554","0.9844285714285714"
"upbeat-durian-32","finished","default configuration for a convolutional neural network","shane-kercheval","default","2024-01-07T00:24:59.000Z","605","","relu","CNN","32","0","cuda","0.05","relative","3","100","0.9924285714285714","0.050699417878474505","0.06524055283068877","0.001281165601373416","true","0.5","[3,5]","0.01","5","adam","[16,32]","true","","","","6","0.05503496933155994","21","0.0003125","0.010437573404447356","0.06531553134687888","0.992429784233257","0.9924413287486532","0.9924285714285714"
"drawn-sweep-8","finished","-","shane-kercheval","","2024-01-06T20:55:31.000Z","2185","vy3v7jae","leaky_relu","CNN","32","0.1","cuda","0.05","relative","3","100","0.9897142857142858","0.05519115153167929","0.05023051707045293","0.0036769668112264296","true","0.5","[3,3]","0.01","5","adam","[16,64]","false","","","","18","0.04584073085535367","27","0.0003125","0.016733517256736167","0.04974059237323955","0.9897155890699528","0.9897276240763898","0.9897142857142858"
"golden-sweep-5","finished","-","shane-kercheval","","2024-01-06T20:16:38.000Z","468","vy3v7jae","relu","CNN","32","0","cuda","0.05","relative","3","100","0.9924285714285714","0.05533726406948907","0.07964476250710573","4.1854271541197363e-7","false","0.5","[3,3]","0.005","5","adam","[32,64]","true","","","","6","0.038787989424408545","24","0.00015625","0.000001129818391023628","0.07980502576918898","0.9924299405441384","0.9924406848619732","0.9924285714285714"
"legendary-sweep-17","finished","-","shane-kercheval","","2024-01-06T23:15:14.000Z","432","vy3v7jae","leaky_relu","CNN","32","0","cuda","0.05","relative","3","100","0.9884285714285714","0.057279071637562344","0.06199927495926089","0.00011872911101349448","false","0.5","[3,3]","0.001","5","adam","[16,32]","false","","","","7","0.040842021497498666","25","0.00003125","0.00021257307949489477","0.06193668185102053","0.9884315609655748","0.9884466785970832","0.9884285714285714"
"mild-sweep-25","finished","-","shane-kercheval","","2024-01-07T00:18:19.000Z","598","vy3v7jae","relu","CNN","32","0.2","cuda","0.05","relative","3","100","0.983","0.057845230613436015","0.05690053753794304","0.040025642047037506","false","0.5","[7,7]","0.005","5","sgd","[8,16]","false","","","","25","0.05711404487996229","34","0.00015625","0.05892395371358424","0.05688431885492589","0.9829916750040988","0.983039282047177","0.983"
"daily-sweep-2","finished","-","shane-kercheval","","2024-01-06T19:52:16.000Z","200","vy3v7jae","relu","CNN","64","0","cuda","0.05","relative","3","100","0.9888571428571428","0.05854829028248787","0.07210882592275224","0.00010735723640369952","false","0.5","[5,5]","0.01","5","adam","[16,64]","false","","","","5","0.04172980556404218","20","0.0003125","0.00011484213056985383","0.07201749527620736","0.9888574908377232","0.9888655498034624","0.9888571428571428"
"woven-sweep-3","finished","-","shane-kercheval","","2024-01-07T06:21:09.000Z","292","46k9rb1p","leaky_relu","convolutional","128","0","cuda","0.05","relative","3","100","0.9787142857142858","0.06153016484209469","0.05746048372983933","0.04224708184493439","false","0","[7,7]","0.01","5","sgd","[8,16]","false","[28,28]","784","10","27","0.06017756970439638","42","0.0003125","0.042705400115145106","0.05746119893661567","0.9787149387834888","0.9787540098046108","0.9787142857142858"
"rare-sweep-55","finished","-","shane-kercheval","","2024-01-07T06:12:25.000Z","714","vy3v7jae","relu","CNN","32","0.2","cuda","0.05","relative","3","100","0.9804285714285714","0.06398600818855422","0.06226606334479792","0.04465882093286408","false","0.5","[5,5]","0.005","5","sgd","[8,16]","false","","","","28","0.06339143685810268","37","0.00015625","0.0590378710626753","0.06225963088949876","0.9804306755641352","0.9804552962738468","0.9804285714285714"
"still-sweep-12","finished","-","shane-kercheval","","2024-01-06T21:55:02.000Z","235","vy3v7jae","relu","CNN","128","0","cuda","0.05","relative","3","100","0.979","0.06523823578442846","0.06509943797758648","0.05116948987330709","false","0","[7,7]","0.01","5","sgd","[16,32]","false","","","","21","0.06706054699420928","33","0.0003125","0.05544401053339243","0.06509885217888015","0.9789937728908829","0.9790115913205996","0.979"
"logical-sweep-14","finished","-","shane-kercheval","","2024-01-06T22:04:17.000Z","1131","vy3v7jae","leaky_relu","CNN","128","0.1","cuda","0.05","relative","3","100","0.9775714285714284","0.06756101814763886","0.06098767819574901","0.047358365227069175","true","0","[7,7]","0.005","5","sgd","[32,64]","false","","","","36","0.06155592631442206","45","0.00015625","0.04948667363662805","0.061006382682493754","0.9775549190352072","0.9776033983583212","0.9775714285714284"
"dainty-sweep-18","finished","-","shane-kercheval","","2024-01-06T23:22:27.000Z","1023","vy3v7jae","leaky_relu","CNN","128","0","cuda","0.05","relative","3","100","0.9791428571428572","0.06908937490412168","0.06489434140069145","0.05188104796196733","true","0.5","[5,5]","0.005","5","sgd","[16,64]","false","","","","28","0.06701721318278994","40","0.00015625","0.055290439033082554","0.06486349973934037","0.9791304531359576","0.9791721139602032","0.9791428571428572"
"swift-sweep-3","finished","-","shane-kercheval","","2024-01-06T19:55:40.000Z","261","vy3v7jae","leaky_relu","CNN","64","0.1","cuda","0.05","relative","3","100","0.9915714285714284","0.06961290378655706","0.06788649256700725","0.000008085391266221796","false","0","[3,7]","0.01","5","adam","[32,64]","false","","","","8","0.04704765309947626","23","0.0003125","0.003630033550800964","0.06780693035316153","0.991574834829049","0.9915909080768924","0.9915714285714284"
"scarlet-sweep-22","finished","-","shane-kercheval","","2024-01-07T00:02:46.000Z","236","vy3v7jae","relu","CNN","64","0","cuda","0.05","relative","3","100","0.9888571428571428","0.07313328715307373","0.07288684824810214","0.000030459501267661234","false","0.5","[3,3]","0.005","5","adam","[16,32]","false","","","","3","0.04414568775626165","21","0.00015625","0.00004038551665365192","0.07286303628155077","0.9888559183005152","0.9888665703931708","0.9888571428571428"
"likely-sweep-13","finished","-","shane-kercheval","","2024-01-06T21:59:01.000Z","309","vy3v7jae","leaky_relu","CNN","64","0","cuda","0.05","relative","3","100","0.9915714285714284","0.07549243047833443","0.07404158885530686","9.330581103268137e-8","true","0","[3,7]","0.01","5","adam","[8,16]","true","","","","6","0.042699120396921766","21","0.0003125","1.8952386108770676e-7","0.07391048363887509","0.9915720488613564","0.9915823272205796","0.9915714285714284"
"clear-sweep-19","finished","-","shane-kercheval","","2024-01-06T23:39:36.000Z","470","vy3v7jae","relu","CNN","64","0.2","cuda","0.05","relative","3","100","0.973","0.0867456431899752","0.08452012542209456","0.07676429124336158","false","0.5","[7,7]","0.001","5","sgd","[8,16]","true","","","","36","0.08465144513015237","42","0.00003125","0.12737981307095494","0.08446644335878747","0.9729860085486975","0.9730037471069332","0.973"
"daily-sweep-36","finished","-","shane-kercheval","","2024-01-07T02:53:18.000Z","433","vy3v7jae","relu","CNN","128","0.2","cuda","0.05","relative","3","100","0.9724285714285714","0.08704312465020589","0.082011259455766","0.0684272380556379","true","0.5","[3,7]","0.005","5","sgd","[8,16]","false","","","","30","0.08632511764764786","45","0.00015625","0.10961394384503365","0.08199141462785857","0.97242206383105","0.9724690353227552","0.9724285714285714"
"soft-sweep-20","finished","-","shane-kercheval","","2024-01-06T23:47:33.000Z","704","vy3v7jae","leaky_relu","CNN","64","0.1","cuda","0.05","relative","3","100","0.9732857142857144","0.0906102220926966","0.08193162035303457","0.07510254749123539","true","0","[3,3]","0.001","5","sgd","[8,16]","true","","","","34","0.08537160187108177","49","0.00003125","0.10404113294749424","0.08193613264816148","0.9732805686661746","0.9733019623179232","0.9732857142857144"
"hardy-sweep-34","finished","-","shane-kercheval","","2024-01-07T02:07:15.000Z","2383","vy3v7jae","relu","CNN","64","0.2","cuda","0.05","relative","3","100","0.967","0.10654216898339136","0.0943686839554991","0.0860842370864536","true","0.5","[3,7]","0.001","5","sgd","[16,64]","false","","","","41","0.09928236831086022","56","0.00003125","0.12253180531592205","0.094368845641613","0.9669965152717144","0.9670643284804912","0.967"
"lemon-sweep-37","finished","-","shane-kercheval","","2024-01-07T03:00:36.000Z","385","vy3v7jae","leaky_relu","CNN","128","0.1","cuda","0.05","relative","3","100","0.97","0.10882260118212018","0.10007304031082562","0.09444852760434153","false","0.5","[3,3]","0.001","5","sgd","[16,32]","true","","","","29","0.10442904889583587","44","0.00003125","0.120749082416296","0.0999698668548039","0.9699960166112356","0.9700389039416992","0.97"
"fiery-sweep-15","finished","-","shane-kercheval","","2024-01-06T22:23:11.000Z","2110","vy3v7jae","relu","CNN","32","0","cuda","0.05","relative","3","100","0.9835714285714284","0.1171911901661328","0.12533081972231322","0.00027840356392926286","true","0","[3,3]","0.005","5","adam","[16,64]","false","","","","14","0.08220583937173537","26","0.00015625","0.000608501284926361","0.1253040490109822","0.983573642450562","0.9835895465388108","0.9835714285714284"
"solar-sweep-53","finished","-","shane-kercheval","","2024-01-07T05:47:16.000Z","659","vy3v7jae","relu","CNN","64","0.1","cuda","0.05","relative","3","100","0.9648571428571427","0.11961517695869718","0.10911589852401188","0.09957241969981365","false","0.5","[7,7]","0.001","5","sgd","[8,16]","false","","","","38","0.11433166265913418","53","0.00003125","0.11746706396084408","0.1090897617680686","0.9648361924328988","0.964867597470502","0.9648571428571427"
"swept-sweep-45","finished","-","shane-kercheval","","2024-01-07T04:21:03.000Z","720","vy3v7jae","relu","CNN","64","0","cuda","0.05","relative","3","100","0.9641428571428572","0.12259831811700549","0.1140375772544316","0.10332650918619972","true","0","[7,7]","0.001","5","sgd","[8,16]","false","","","","46","0.11464762861813818","52","0.00003125","0.10774550728242972","0.11404684123396872","0.9641299675391746","0.9641754806187758","0.9641428571428572"
"charmed-sweep-47","finished","-","shane-kercheval","","2024-01-07T04:37:56.000Z","440","vy3v7jae","relu","CNN","128","0.2","cuda","0.05","relative","3","100","0.9392857142857144","0.20704988922391615","0.18758036255836483","0.19038334048645836","false","0.5","[3,5]","0.001","5","sgd","[16,32]","false","","","","35","0.1970907951933997","50","0.00003125","0.22351413007293428","0.18758961151327405","0.9392688503463482","0.9393885433407292","0.9392857142857144"
"earthy-hill-23","failed","default configuration for a convolutional neural network","shane-kercheval","default","2024-01-06T23:52:19.000Z","12","","relu","CNN","32","0","cuda","0.05","relative","3","100","","","","","true","0.5","[3,5]","0.01","5","adam","[16,32]","true","","","","","","","","","","","",""
"true-brook-18","crashed","default configuration for a convolutional neural network","shane-kercheval","default","2024-01-06T23:01:07.000Z","569","","relu","CNN","32","0","cuda","0.05","relative","3","100","","","","","true","0.5","[3,5]","0.01","5","adam","[16,32]","true","","","","","","21","0.0003125","0.010991070739797404","0.05585932800780894","","",""
"fearless-sweep-5","running","-","shane-kercheval","","2024-01-07T06:29:39.000Z","301","46k9rb1p","leaky_relu","convolutional","32","0.2","cuda","0.05","relative","3","100","","","","","false","0.5","[5,5]","0.01","5","adam","[32,64]","true","[28,28]","784","10","","","15","0.00125","0.011819793765133554","0.03123929067015236","","",""
"eager-frog-29","failed","default configuration for a convolutional neural network","shane-kercheval","default","2024-01-07T00:10:35.000Z","635","","relu","CNN","32","0","cuda","0.05","relative","3","100","","","","","true","0.5","[3,5]","0.01","5","adam","[16,32]","true","","","","8","0.0448059373339186","23","0.0003125","0.00505018275061763","0.062620162302729","","",""
"glowing-leaf-25","failed","default configuration for a convolutional neural network","shane-kercheval","default","2024-01-06T23:59:32.000Z","13","","relu","CNN","32","0","cuda","0.05","relative","3","100","","","","","true","0.5","[3,5]","0.01","5","adam","[16,32]","true","","","","","","","","","","","",""
"jolly-sweep-57","running","-","shane-kercheval","","2024-01-07T06:34:08.000Z","55","vy3v7jae","relu","CNN","128","0","cuda","0.05","relative","3","100","","","","","true","0","[3,7]","0.005","5","sgd","[32,64]","false","","","","","","1","0.005","0.5327861670936856","0.5114165214811053","","",""
"eager-meadow-28","crashed","default configuration for a convolutional neural network","shane-kercheval","default","2024-01-07T00:09:19.000Z","33","","relu","CNN","32","0","cuda","0.05","relative","3","100","","","","","true","0.5","[3,5]","0.01","5","adam","[16,32]","true","","","","","","","","","","","",""
"fresh-sweep-1","failed","-","shane-kercheval","","2024-01-07T06:06:15.000Z","13","9lfacqmh","leaky_relu","convolutional","64","0.1","cuda","0.05","relative","3","100","","","","","true","0","[3,5]","0.01","5","adam","[16,64]","false","[28,28]","784","10","","","","","","","","",""